Name,Position,Height,Weight,Academic Year,Hometown,Previous School,Year,School,From_US_State,Is_Transfer,Age,G,MP,OWS,DWS,WS,WS/40,MPG
Jamarques Lawrence,G,75.0,185.0,Freshman,New Jersey,Roselle Catholic,2022,Nebraska,True,False,18.0,28.0,506.0,0.0,0.6,0.6,0.048,18.071428571428573
Jameel Brown,G,76.0,188.0,Freshman,Pennsylvania,,2022,Penn_State,True,False,18.0,14.0,64.0,-0.1,0.1,0.0,0.001,4.571428571428571
Jamison Battle,F,79.0,220.0,Jr.,Minnesota,DeLaSalle,2022,Minnesota,True,True,20.0,27.0,961.0,-0.2,0.5,0.4,0.015,35.592592592592595
Jason Whitens,G,78.0,210.0,Gr.,Michigan,,2022,Michigan_State,True,True,23.0,19.0,79.0,0.1,0.1,0.2,0.079,4.157894736842105
Jaxon Kohler,F,81.0,240.0,Fr.,Utah,,2022,Michigan_State,True,False,18.0,34.0,367.0,0.2,0.5,0.7,0.081,10.794117647058824
Jayden Epps,G,74.0,190.0,Fr.,Virginia,,2022,Illinois,True,False,18.0,31.0,762.0,0.8,1.1,1.9,0.101,24.580645161290324
Jeffrey Grace III,G,75.0,195.0,Redshirt Freshman,Illinois,Arizona State,2022,Nebraska,True,False,19.0,,,,,,,
Jett Howard,G,80.0,215.0,Fr.,Florida,,2022,Michigan,True,False,18.0,29.0,922.0,2.1,1.0,3.0,0.132,31.79310344827586
Joey Baker,G,79.0,205.0,Gr.,North Carolina,,2022,Michigan,True,True,23.0,34.0,558.0,0.8,0.7,1.5,0.107,16.41176470588235
Joey Hauser,F,81.0,220.0,Gr.,Wisconsin,,2022,Michigan_State,True,False,23.0,34.0,1158.0,3.5,1.4,4.9,0.168,34.05882352941177
Jordan Davis,G,76.0,200.0,Jr.,Wisconsin,,2022,Wisconsin,True,False,20.0,35.0,719.0,0.8,1.1,1.9,0.104,20.542857142857144
Jordan Geronimo,F,78.0,225.0,Jr.,New Jersey,,2022,Indiana,True,False,20.0,27.0,335.0,0.5,0.6,1.1,0.137,12.407407407407408
Josh Dix,G,77.0,192.0,Fr.,Iowa,,2022,Iowa,True,False,18.0,31.0,285.0,0.4,0.2,0.6,0.08,9.193548387096774
Josh Ogundele,C,82.0,275.0,Jr.,England,,2022,Iowa,False,False,20.0,11.0,72.0,0.1,0.1,0.3,0.142,6.545454545454546
Joshua Ola-Joseph,F,79.0,215.0,Fr.,Minnesota,Compass Prep,2022,Minnesota,True,False,18.0,31.0,685.0,0.3,0.4,0.7,0.04,22.096774193548388
Julian Reese,F,81.0,230.0,So.,Maryland,,2022,Maryland,True,False,19.0,34.0,919.0,2.3,1.9,4.3,0.186,27.029411764705884
Julian Roper II,G,75.0,180.0,So.,Michigan,,2022,Northwestern,True,False,19.0,,,,,,,
Justice Sueing,F,78.0,210.0,R-Sr.,Hawaii,,2022,Ohio_State,True,False,22.0,35.0,1062.0,1.8,1.1,2.9,0.108,30.34285714285714
Justin Taphorn,G,77.0,215.0,Jr.,Illinois,,2022,Wisconsin,True,False,20.0,5.0,6.0,0.0,0.0,0.0,0.028,1.2
Juwan Gary,F,78.0,215.0,Sophomore,South Carolina,Alabama,2022,Nebraska,True,True,19.0,17.0,502.0,0.6,0.9,1.5,0.118,29.529411764705884
Kadyn Betts,F,80.0,215.0,Fr.,Colorado,Pueblo Central,2022,Minnesota,True,False,18.0,,,,,,,
Kaleb Banks,F,79.0,215.0,Fr.,Georgia,,2022,Indiana,True,False,18.0,24.0,135.0,0.2,0.2,0.4,0.116,5.625
Kalen Etzler,F,80.0,190.0,R-Fr.,Ohio,Crestview,2022,Ohio_State,True,False,19.0,9.0,30.0,0.0,0.0,0.0,0.053,3.333333333333333
Kamari McGee,G,72.0,180.0,So.,Wisconsin,,2022,Wisconsin,True,True,19.0,31.0,219.0,-0.1,0.3,0.2,0.034,7.064516129032258
Kanye Clary,G,71.0,192.0,Freshman,Virginia,,2022,Penn_State,True,False,18.0,32.0,332.0,0.0,0.3,0.3,0.032,10.375
Kebba Njie,F,82.0,237.0,Freshman,Ohio,,2022,Penn_State,True,False,18.0,37.0,529.0,0.4,0.7,1.1,0.083,14.297297297297296
Keisei Tominaga,G,74.0,175.0,Junior,Japan,Ranger College,2022,Nebraska,False,True,20.0,32.0,803.0,2.4,0.7,3.1,0.154,25.09375
Kobe Bufkin,G,76.0,195.0,So.,Michigan,,2022,Michigan,True,False,19.0,33.0,1121.0,2.5,1.7,4.1,0.148,33.96969696969697
Kris Murray,F,80.0,220.0,Jr.,Iowa,,2022,Iowa,True,False,20.0,29.0,1011.0,3.6,1.1,4.7,0.187,34.86206896551724
Logan Duncomb,C,82.0,241.0,So.,Ohio,,2022,Indiana,True,False,19.0,9.0,51.0,0.2,0.1,0.3,0.203,5.666666666666667
Logan Stephens,G,74.0,197.0,So.,Georgia,,2022,Rutgers,True,False,19.0,3.0,5.0,0.0,0.0,0.0,0.399,1.6666666666666667
Luc Laketa,G,77.0,180.0,So.,Michigan,Winchendon (MA),2022,Iowa,True,False,19.0,4.0,10.0,0.0,0.0,0.0,0.152,2.5
Luke Goode,G,79.0,210.0,So.,Indiana,,2022,Illinois,True,False,19.0,10.0,139.0,0.3,0.2,0.6,0.159,13.9
Luke Haertle,G,75.0,215.0,Fr.,Wisconsin,,2022,Wisconsin,True,False,18.0,,,,,,,
Luke Hunger,F,82.0,255.0,Fy.,Quebec,,2022,Northwestern,False,False,18.0,6.0,37.0,0.1,0.0,0.1,0.153,6.166666666666667
Mady Sissoko,C,81.0,240.0,Jr.,Mali,,2022,Michigan_State,False,False,20.0,34.0,729.0,1.0,1.2,2.1,0.117,21.44117647058824
Malik Hall,F,80.0,220.0,Sr.,Illinois,,2022,Michigan_State,True,False,21.0,23.0,591.0,0.8,0.7,1.5,0.1,25.695652173913043
Malik Reneau,F,81.0,233.0,Fr.,Florida,,2022,Indiana,True,False,18.0,35.0,522.0,0.7,0.9,1.6,0.122,14.914285714285716
Markus Ilver,F,80.0,215.0,So.,Estonia,,2022,Wisconsin,False,False,19.0,18.0,119.0,-0.1,0.1,0.1,0.033,6.611111111111111
Mason Gillis,F,78.0,230.0,Jr.,Indiana,,2022,Purdue,True,False,20.0,32.0,655.0,1.7,1.0,2.7,0.167,20.46875
Matt Frost,F,77.0,200.0,Sr.,Indiana,,2022,Purdue,True,False,21.0,,,,,,,
Matthew Mayer,G/F,81.0,225.0,5th,Texas,,2022,Illinois,True,True,23.0,33.0,877.0,1.9,1.8,3.8,0.171,26.57575757575757
Matthew Nicholson,C,84.0,255.0,Jr.,Michigan,,2022,Northwestern,True,False,20.0,34.0,715.0,1.6,1.6,3.2,0.179,21.029411764705884
Mawot Mag,F,79.0,216.0,Jr.,Australia,,2022,Rutgers,False,False,20.0,23.0,570.0,0.7,1.3,2.1,0.146,24.782608695652176
Max Klesmit,G,75.0,200.0,Jr.,Wisconsin,,2022,Wisconsin,True,True,20.0,33.0,1059.0,1.2,1.7,2.9,0.109,32.09090909090909
Michael Henn,F,80.0,244.0,Senior+,Washington,Denver,2022,Penn_State,True,True,23.0,29.0,249.0,0.4,0.2,0.6,0.091,8.586206896551724
Michael Shipp,G,75.0,195.0,Sr.,Ohio,,2022,Indiana,True,False,21.0,3.0,2.0,0.0,0.0,0.0,0.022,0.6666666666666666
Miller Kopp,F,79.0,215.0,Sr.+,Texas,,2022,Indiana,True,False,23.0,35.0,1062.0,1.9,1.0,3.0,0.112,30.34285714285714
Myles Dread,G,76.0,235.0,Senior+,Michigan,,2022,Penn_State,True,False,23.0,37.0,795.0,1.1,0.7,1.8,0.091,21.486486486486488
Nathan Childress,F,78.0,212.0,Sr.,Indiana,,2022,Indiana,True,False,21.0,5.0,10.0,0.0,0.0,0.0,0.047,2.0
Niccolo Moretti,G,73.0,160.0,Fr.,Italy,,2022,Illinois,False,False,18.0,,,,,,,
Nick Martinelli,F,79.0,200.0,Fy.,Illinois,,2022,Northwestern,True,False,18.0,20.0,202.0,0.4,0.3,0.6,0.127,10.1
Nick Sanders,G,69.0,170.0,Fr.,Michigan,,2022,Michigan_State,True,False,18.0,7.0,7.0,0.0,0.0,0.0,-0.204,1.0
Noah Batchelor,G,78.0,185.0,Fr.,Maryland,,2022,Maryland,True,False,18.0,22.0,148.0,-0.1,0.2,0.2,0.044,6.727272727272728
Oleg Kojenets,F,84.0,232.0,Redshirt Freshman,Lithuania,,2022,Nebraska,False,False,19.0,18.0,63.0,0.0,0.1,0.0,0.023,3.5
Oskar Palmquist,F,80.0,220.0,Jr.,Sweden,,2022,Rutgers,False,False,20.0,21.0,194.0,0.2,0.3,0.5,0.103,9.238095238095235
Owen Spencer,F,81.0,215.0,Jr.,Ohio,Turpin,2022,Ohio_State,True,True,20.0,7.0,19.0,0.0,0.0,0.0,-0.032,2.7142857142857144
Parker Fox,F,80.0,210.0,R-Jr.,Minnesota,Mahtomedi,2022,Minnesota,True,True,21.0,,,,,,,
Patrick Emilien,F,79.0,210.0,Gr.,Ontario,,2022,Maryland,False,True,23.0,32.0,565.0,0.8,0.9,1.7,0.121,17.65625
Patrick McCaffery,F,81.0,210.0,RS Jr.,Iowa,,2022,Iowa,True,False,21.0,27.0,604.0,1.2,0.6,1.7,0.115,22.37037037037037
Paul Mulcahy,G,79.0,213.0,Sr.,New Jersey,,2022,Rutgers,True,False,21.0,30.0,971.0,1.1,2.0,3.1,0.128,32.36666666666667
Pavlo Dziuba,F,80.0,235.0,Jr.,Ukraine,,2022,Maryland,False,True,20.0,6.0,13.0,0.0,0.0,0.0,-0.101,2.1666666666666665
Paxton Warden,G,76.0,180.0,Fr.,Illinois,,2022,Illinois,True,False,18.0,10.0,15.0,-0.1,0.0,-0.1,-0.154,1.5
Payton Sandfort,G,79.0,215.0,So.,Iowa,,2022,Iowa,True,False,19.0,33.0,685.0,2.0,0.6,2.7,0.157,20.75757575757576
Pharrel Payne,F,81.0,255.0,Fr.,Minnesota,Park High School Cottage Grove,2022,Minnesota,True,False,18.0,30.0,661.0,0.8,0.7,1.6,0.095,22.03333333333333
Pierre Brooks II,G,78.0,220.0,So.,Michigan,,2022,Michigan_State,True,False,19.0,,,,,,,
Quaran McPherson,G,75.0,197.0,Redshirt Freshman,New York,,2022,Nebraska,True,False,19.0,,,,,,,
RJ Floyd,G,75.0,165.0,So.,Maryland,,2022,Maryland,True,False,19.0,,,,,,,
RJ Melendez,G,79.0,205.0,So.,Puerto Rico,,2022,Illinois,False,False,19.0,32.0,687.0,0.7,1.2,1.9,0.112,21.46875
Race Thompson,F,80.0,235.0,R-Sr.+,Minnesota,,2022,Indiana,True,False,24.0,30.0,696.0,1.3,1.3,2.5,0.146,23.2
Ramel Lloyd Jr.,G,78.0,204.0,Freshman,California,Sierra Canyon,2022,Nebraska,True,False,18.0,,,,,,,
Riley Mulvey,C,83.0,245.0,So.,New York,,2022,Iowa,True,False,19.0,12.0,50.0,0.1,0.1,0.1,0.117,4.166666666666667
Robbie Beran,F,81.0,215.0,Sr.,Virginia,,2022,Northwestern,True,False,21.0,34.0,875.0,1.3,1.5,2.8,0.127,25.735294117647054
Roddy Gayle Jr.,G,76.0,205.0,Fr.,New York,Lewiston-Porter,2022,Ohio_State,True,False,18.0,,,,,,,
Ross Candelino,G,77.0,185.0,Fr.,Florida,,2022,Wisconsin,True,False,18.0,5.0,5.0,0.0,0.0,0.0,0.278,1.0
Roy Dixon III,G,71.0,170.0,Sr.,Georgia,,2022,Northwestern,True,False,21.0,,,,,,,
Sam Griesel,G,79.0,216.0,Senior,Nebraska,,2022,Nebraska,True,True,21.0,30.0,1010.0,1.3,1.6,2.9,0.113,33.666666666666664
Sam Hoiberg,G,72.0,180.0,Redshirt Freshman,Nebraska,Pius X,2022,Nebraska,True,False,19.0,21.0,267.0,0.7,0.4,1.1,0.162,12.714285714285714
Sam King,F,80.0,225.0,Fr.,Indiana,,2022,Purdue,True,False,18.0,4.0,7.0,0.0,0.0,0.0,-0.102,1.75
Sean McNeil,G,76.0,205.0,Gr.,Kentucky,Cooper HS,2022,Ohio_State,True,True,23.0,35.0,1018.0,2.0,0.6,2.6,0.101,29.085714285714285
Sencire Harris,G,76.0,160.0,Fr.,Ohio,,2022,Illinois,True,False,18.0,33.0,479.0,0.2,1.0,1.2,0.1,14.515151515151516
Seth Lundy,G,78.0,220.0,Senior,New Jersey,,2022,Penn_State,True,False,21.0,36.0,1141.0,3.3,1.5,4.8,0.168,31.694444444444443
Shaan Burke,G,77.0,195.0,So.,California,,2022,Indiana,True,False,19.0,1.0,0.0,0.0,0.0,0.0,,0.0
Steven Crowl,F,84.0,245.0,Jr.,Minnesota,,2022,Wisconsin,True,False,20.0,35.0,1071.0,2.3,1.8,4.1,0.153,30.6
Steven Izzo,G,68.0,150.0,Sr.,Michigan,,2022,Michigan_State,True,False,21.0,8.0,8.0,-0.1,0.0,-0.1,-0.394,1.0
Ta'Lon Cooper,G,76.0,195.0,Jr.,South Carolina,Dorman HS,2022,Minnesota,True,True,20.0,31.0,1137.0,0.9,0.9,1.7,0.06,36.67741935483871
Tamar Bates,G,77.0,198.0,So.,Kansas,,2022,Indiana,True,False,19.0,35.0,713.0,0.8,0.7,1.4,0.081,20.37142857142857
Tanner Holden,G,78.0,200.0,Sr.,Ohio,Wheelersburg,2022,Ohio_State,True,True,21.0,27.0,366.0,0.5,0.4,0.9,0.103,13.555555555555555
Tarris Reed Jr.,F,82.0,260.0,Fr.,Missouri,,2022,Michigan,True,False,18.0,,,,,,,
Taurus Samuels,G,73.0,195.0,5th,California,Vista HS,2022,Minnesota,True,True,23.0,28.0,471.0,-0.1,0.2,0.1,0.007,16.821428571428573
Terrance Williams II,F,79.0,230.0,Jr.,Maryland,,2022,Michigan,True,False,20.0,,,,,,,
Terrence Shannon Jr.,G,78.0,225.0,Sr.,Illinois,,2022,Illinois,True,True,21.0,,,,,,,
Tony Perkins,G,76.0,205.0,Jr.,Indiana,,2022,Iowa,True,False,20.0,32.0,950.0,1.8,1.0,2.8,0.118,29.6875
Trayce Jackson-Davis,F,81.0,245.0,Sr.,Indiana,,2022,Indiana,True,False,21.0,32.0,1105.0,4.8,2.4,7.2,0.261,34.53125
Tre Holloman,G,74.0,180.0,Fr.,Minnesota,,2022,Michigan_State,True,False,18.0,34.0,292.0,0.1,0.3,0.4,0.052,8.588235294117647
Trey Galloway,G,76.0,203.0,Jr.,Indiana,,2022,Indiana,True,False,20.0,32.0,886.0,1.5,0.9,2.4,0.109,27.6875
Trey Kaufman-Renn,F,81.0,225.0,R-Fr.,Indiana,,2022,Purdue,True,False,19.0,35.0,397.0,0.8,0.7,1.5,0.151,11.342857142857143
Treyton Thompson,C,84.0,210.0,So.,Minnesota,Alexandria // La Lumiere School,2022,Minnesota,True,False,19.0,20.0,220.0,-0.1,0.2,0.1,0.017,11.0
Ty Berry,G,75.0,185.0,Jr.,Kansas,,2022,Northwestern,True,False,20.0,34.0,962.0,0.8,2.0,2.7,0.113,28.294117647058822
Ty Rodgers,G/F,78.0,200.0,Fr.,Michigan,,2022,Illinois,True,False,18.0,33.0,574.0,0.5,1.1,1.6,0.113,17.393939393939394
Tydus Verhoeven,F,81.0,235.0,Gr.,California,UTEP,2022,Northwestern,True,True,23.0,34.0,536.0,0.6,1.0,1.6,0.121,15.764705882352942
Tyler Wahl,F,81.0,225.0,Sr.,Minnesota,,2022,Wisconsin,True,False,21.0,32.0,1007.0,0.5,2.0,2.4,0.097,31.46875
Tyson Walker,G,73.0,180.0,Sr.,New York,,2022,Michigan_State,True,True,21.0,34.0,1154.0,2.6,1.2,3.8,0.133,33.94117647058823
Wilhelm Breidenbach,F,82.0,231.0,Sophomore,California,,2022,Nebraska,True,False,19.0,32.0,409.0,-0.1,0.6,0.4,0.04,12.78125
Will Berg,C,86.0,260.0,Fr.,Sweden,,2022,Purdue,False,False,18.0,,,,,,,
Will Ramberg,G,77.0,205.0,Jr.,Minnesota,Cook County,2022,Minnesota,True,True,20.0,16.0,201.0,0.2,0.2,0.4,0.083,12.5625
Will Tschetter,F,80.0,240.0,R-Fr.,Minnesota,,2022,Michigan,True,False,19.0,27.0,290.0,0.1,0.3,0.4,0.056,10.74074074074074
Xavier Johnson,G,75.0,200.0,Sr.+,Virginia,,2022,Indiana,True,True,23.0,11.0,277.0,0.4,0.4,0.8,0.117,25.181818181818183
Youssef Khayat,F,81.0,195.0,Fr.,Lebanon,,2022,Michigan,False,False,18.0,9.0,59.0,0.0,0.0,0.1,0.051,6.555555555555555
Zach Edey,C,88.0,305.0,Jr.,Ontario,,2022,Purdue,False,False,20.0,34.0,1077.0,6.3,2.4,8.8,0.325,31.676470588235293
Zed Key,F,80.0,255.0,Jr.,New York,,2022,Ohio_State,True,False,20.0,25.0,621.0,2.0,0.9,2.9,0.185,24.84
A.J. Hoggard,G,76.0,210.0,Sr.,Pennsylvania,,2023,Michigan_State,True,False,21.0,35.0,1003.0,1.8,1.7,3.5,0.139,28.65714285714286
AJ Redd,G,75.0,170.0,So.,Illinois,,2023,Illinois,True,False,19.0,10.0,20.0,-0.1,0.0,0.0,-0.084,2.0
AJ Storr,G,79.0,205.0,So.,Illinois,,2023,Wisconsin,True,True,19.0,36.0,1038.0,2.2,1.0,3.2,0.124,28.83333333333333
Ace Baldwin Jr.,G,73.0,190.0,Senior,Maryland,VCU,2023,Penn_State,True,True,21.0,,,,,,,
Ahron Ulis,G,75.0,190.0,Junior,Illinois,Iowa,2023,Nebraska,True,False,20.0,,,,,,,
Aiden Terry,G,70.0,160.0,Sr.,Kentucky,,2023,Rutgers,True,False,21.0,6.0,10.0,0.0,0.0,0.0,0.09,1.6666666666666667
Amani Hansberry,F,80.0,240.0,Fr.,Maryland,,2023,Illinois,True,False,18.0,19.0,141.0,0.3,0.2,0.5,0.155,7.421052631578948
Andy Christos,G,77.0,186.0,Senior,New Jersey,,2023,Penn_State,True,False,21.0,6.0,8.0,0.0,0.0,0.0,0.074,1.3333333333333333
Anthony Leal,G,77.0,200.0,Sr.,Indiana,,2023,Indiana,True,False,21.0,21.0,308.0,0.2,0.3,0.5,0.065,14.666666666666666
Anthony Walker,F,80.0,215.0,Sr.+,Maryland,Miami (Fla.),2023,Indiana,True,True,23.0,32.0,452.0,0.7,0.4,1.1,0.093,14.125
Antonio Chol,F,81.0,220.0,R-Fr.,New York,,2023,Rutgers,True,False,19.0,7.0,36.0,-0.2,0.1,-0.1,-0.148,5.142857142857143
Antwone Woolfolk,F,81.0,225.0,So.,Ohio,,2023,Rutgers,True,False,19.0,27.0,344.0,0.1,0.7,0.8,0.095,12.74074074074074
Aundre Hyatt,F,78.0,235.0,Sr.,New York,,2023,Rutgers,True,True,21.0,32.0,834.0,1.1,1.7,2.8,0.132,26.0625
Austin Parks,C,82.0,260.0,Fr.,Ohio,St. Marys Memorial,2023,Ohio_State,True,False,18.0,9.0,20.0,0.0,0.0,0.1,0.101,2.2222222222222223
Austin Williams,G,76.0,205.0,Gr.,New Jersey,,2023,Rutgers,True,True,23.0,26.0,409.0,-0.2,0.8,0.6,0.058,15.73076923076923
Ben Krikke,F,81.0,245.0,Graduate Student,Alberta,Valparaiso,2023,Iowa,False,True,23.0,34.0,973.0,2.5,0.7,3.2,0.131,28.61764705882353
Ben Murphy,G,73.0,193.0,Jr.,Maryland,,2023,Maryland,True,False,20.0,4.0,9.0,0.0,0.0,0.0,0.111,2.25
Blaise Keita,F,83.0,257.0,Junior,Republic of Mali,Coffeyville CC,2023,Nebraska,False,True,20.0,,,,,,,
Blake Barkley,F,79.0,210.0,Fy.,West Virginia,,2023,Northwestern,True,False,18.0,,,,,,,
Blake Preston,F,81.0,240.0,Gr.,North Carolina,Liberty,2023,Northwestern,True,True,23.0,28.0,288.0,0.3,0.3,0.6,0.088,10.285714285714286
Blake Smith,G,78.0,175.0,So.,Pennsylvania,,2023,Northwestern,True,False,19.0,11.0,151.0,0.2,0.2,0.4,0.097,13.727272727272728
Boo Buie,G,74.0,180.0,Gr.,New York,,2023,Northwestern,True,False,23.0,34.0,1253.0,3.8,1.3,5.1,0.162,36.85294117647059
Bowen Hardman,G,75.0,190.0,So.,Ohio,Princeton,2023,Ohio_State,True,False,19.0,18.0,76.0,0.2,0.1,0.3,0.137,4.222222222222222
Braden Pierce,C,84.0,230.0,Fr.,Georgia,,2023,Maryland,True,False,18.0,,,,,,,
Braden Smith,G,72.0,175.0,So.,Indiana,,2023,Purdue,True,False,19.0,39.0,1327.0,3.3,2.4,5.7,0.172,34.02564102564103
Braeden Carrington,G,76.0,195.0,So.,Minn,Park Center HS,2023,Minnesota,False,False,19.0,29.0,609.0,0.2,0.7,0.9,0.057,21.0
Bragi Guðmundsson,G,77.0,175.0,Freshman,Iceland,,2023,Penn_State,False,False,18.0,,,,,,,
